song_name,song_id,artist,track_preview,track_img
My Society,6y45GZ34Hm9QejTU12andf,Hôtel Costes,,https://i.scdn.co/image/ab67616d00001e02e6a63209bcd69a070dfc6c83
What's Up?,7f0jXNMu2xjQUtmKMuWhGA,4 Non Blondes,,https://i.scdn.co/image/ab67616d00001e02b6661e358246261816ca707e
September Song,0DNk7lEqDGCN6nDD0H8emF,JP Cooper,,https://i.scdn.co/image/ab67616d00001e029de9b8daa121d9c4dc36e1a3
Devil's Spoke,3dhLTGgw1EvjXExJYxTfWw,Laura Marling,,https://i.scdn.co/image/ab67616d00001e02c6ab78e5cb7d576164707439
Woman and Man,3FVXIJgdKDrOMc35QSCZSQ,Ween,,https://i.scdn.co/image/ab67616d00001e026a42391942aa5f89b5d1d671
Starboy,2IY7eOUDjw2ArKYxKa2jXc,The Weeknd,,https://i.scdn.co/image/ab67616d00001e020b30436953c521c87eb82c75
Rather Be (feat. Jess Glynne),7x7OXP72oUQqw4JVoQa3kT,Clean Bandit,,https://i.scdn.co/image/ab67616d00001e028296a08a9a9a2f1033eca764
Memories,0gDWgUpmcRyIb9yBxeaGQj,Waldeck,,https://i.scdn.co/image/ab67616d00001e0283dd484368ac45e8ac3ad6d7
Six Feet Under,54Bdz1CeXqh2fpAfGT59CN,The Weeknd,,https://i.scdn.co/image/ab67616d00001e020c8599cbde51245c128bcea9
X Marks the Spot,3ltP3aaxTS5Hd1I4KNJe5i,Ghostpoet,,https://i.scdn.co/image/ab67616d00001e02dbc2ae6a30cf72d2c0f7d859
Playinwitme (feat. Kehlani),43cFjTTCD9Cni4aSL0sORz,KYLE,,https://i.scdn.co/image/ab67616d00001e02fa7b2b60e85950ee93dcdc04
I Put A Spell On You,2k1FxnHzyWGUT9hNIGFjsE,Annie Lennox,,https://i.scdn.co/image/ab67616d00001e0267dd688853b5ed6c224c5b65
No One,0JEqGkvUiMTQmFY6sgL9kg,Alicia Keys,,https://i.scdn.co/image/ab67616d00001e020e7e087dea9187d221f7976d
She's Country,4A6IgELhUNZIJ38kMUB4pC,Jason Aldean,,https://i.scdn.co/image/ab67616d00001e02e933467659d2f97eef64ed2e
8 Letters - Party Pupils Remix,1oR81qFiVw6g2qjGyum021,Why Don't We,,https://i.scdn.co/image/ab67616d00001e024e76ce60de8dfd8da1b48752
"Minnesota, WI",6efNOpesYf3u9vOScWE5Me,Bon Iver,,https://i.scdn.co/image/ab67616d00001e02f68c287d90dce06539309986
No Replacing You,5vmSMCACbvvNyj71zAMRQ9,Pink Sweat$,,https://i.scdn.co/image/ab67616d00001e02fb78e3bdef2ba28282b8c840
Feel Again,6nmVeODcBpsGKx5RPv003D,OneRepublic,,https://i.scdn.co/image/ab67616d00001e02ef5a41b9299d772644927b95
Cold Skin,2Nbk6e3lExNzZj9AuCwV8C,Seven Lions,,https://i.scdn.co/image/ab67616d00001e023bab79944ed45be800033165
Paint Yourself,0yOejql4hrkoB3VYqpvtnW,White Denim,,https://i.scdn.co/image/ab67616d00001e027c7b7807334820855dcd5b0c
Something In The Way,53rVYwGiKUC3gYX8SQQYYU,Nirvana,,https://i.scdn.co/image/ab67616d00001e02f411d2833d932f4d84d616ef
Summer Of '69,5EU1mh0C4Km3k6vGvIDN2J,Bryan Adams,,https://i.scdn.co/image/ab67616d00001e025ee8bc02bd6ab68b1dc9ff80
Only for the Weak,03zYFtluA21jFWQVPMbUYO,In Flames,,https://i.scdn.co/image/ab67616d00001e02955536b17812ef9da826562b
Mad Sounds,3msQ1AerRdSbjrBk3F4W0q,Arctic Monkeys,,https://i.scdn.co/image/ab67616d00001e024f669de38690faf2cf88c245
In the Wee Small Hours of the Morning,2JZzhNbIKPLJPgX1THpI0m,Frank Sinatra,,https://i.scdn.co/image/ab67616d00001e0271fa741923189e51609761b8
Thought About You,7kCXmYJeltdnCMMsfwaCsf,Tim McGraw,,https://i.scdn.co/image/ab67616d00001e027d65de2944f9c8f06cf437a2
Nothing Can Change This Love,26rvI6Xps9TPk2nBgk5Gn9,Sam Cooke,,https://i.scdn.co/image/ab67616d00001e02a08d0fa95bf122b9a7e04570
One Man Band,3ksmU0DaEUMEVzx5V6cc3z,Old Dominion,,https://i.scdn.co/image/ab67616d00001e02a2254a9b3748f372b52b58af
"I, The Hand Grenade",2hkcqDkVqD2WBjsYHBWlUz,Highasakite,,https://i.scdn.co/image/ab67616d00001e02e3e28304794cc55427307dd0
Coney Island Baby,5ekAJQMTEhwv9nKQd1NHTM,Tom Waits,,https://i.scdn.co/image/ab67616d00001e02d8d1e8a330627f090f75e6e7
Maneater,4aKIs5t9TqP59btlCGPrgw,Daryl Hall & John Oates,,https://i.scdn.co/image/ab67616d00001e02cb6fdb35aac14a4dcc437f5b
Chicken Fried,4dGJf1SER1T6ooX46vwzRB,Zac Brown Band,,https://i.scdn.co/image/ab67616d00001e023f6f4ab78c05dfdfcc37a205
The Logical Song - Radio Edit [Remastered],0OpsdOxCH5frtDmBNRQDEF,Scooter,,https://i.scdn.co/image/ab67616d00001e02b281410f532115dcd0f08c85
Game Boy,3y2M4HC1CwVP9GlEvTVTO3,Kjartan Lauritzen,,https://i.scdn.co/image/ab67616d00001e029545d5243e8aa657a07a1359
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,,https://i.scdn.co/image/ab67616d00001e02bc5839eea68e7ff7f1010f93
Keep Your Head Up,7MapZTlRqFfUteNcghsTwf,Andy Grammer,,https://i.scdn.co/image/ab67616d00001e025d6ee0cc74a8cd744e5106bf
Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr,Aerosmith,,https://i.scdn.co/image/ab67616d00001e029662c6535fb4bf5767e50f32
Somebody To Love - The Voice Performance,3nkNpAoC3HMNwct5caOGc5,James Wolpert,,https://i.scdn.co/image/ab67616d00001e0221c24633691d5bfafe5ae26b
Break On Me,3W5GXbS3ugsYjx1X0xBNbL,Keith Urban,,https://i.scdn.co/image/ab67616d00001e02587d725d25be6fae48ff2d29
Jai Ho,4i3MgUew8ynhf49Qwr4IP4,Various Artists,,https://i.scdn.co/image/ab67616d00001e0264b18e70f961ae35e8f7b4ab
You Make My Dreams,5kn8foqu9fVRqg9x6pFnYQ,Daniel Seavey,,https://i.scdn.co/image/ab67616d00001e0208167f4957efad8787cd9ed5
Tarkus - i. Eruption / ii. Stones of Years / iii. Iconoclast / iv. Mass / v. Manticore / vi. Battlefield / vii. Aquatarkus; 2012 Remaster,62d0aGpYF2p8fpvJ1qa32V,"Emerson, Lake & Palmer",,https://i.scdn.co/image/ab67616d00001e02008bb16c05153ecaf7853f81
Say Something To Me,7wLIw9KMkYvdiRbaXpk2jh,HRVY,,https://i.scdn.co/image/ab67616d00001e02444ff5fce26c89b5a309f536
Queer,1rv9cX499pt0C7ws8ZEZQf,Garbage,,https://i.scdn.co/image/ab67616d00001e02ab90eec08e9803d0273b1d82
Monument,5B6DrPM6zV3KBzVc4zutSD,Röyksopp,,https://i.scdn.co/image/ab67616d00001e0283f481912754558f3b0146df
A Brighter Day,0KVG8XyYqp6nymh7rdDsmV,Ronny Jordan,,https://i.scdn.co/image/ab67616d00001e0293f2549b61a35bede551effa
Heartbroken,6zrGk96LoPi7LARG959UWA,HRVY,,https://i.scdn.co/image/ab67616d00001e02f74a26b9b62a6a98e56a84e3
Joe,7ol1ASKne63N10YvJymAjy,The Cranberries,,https://i.scdn.co/image/ab67616d00001e021eab8368d90f9c87692e6474
Make You Mine,1ZWFt1f25IDDHsyx2rlcSV,Us The Duo,,https://i.scdn.co/image/ab67616d00001e02aba8440571322278544d77c4
Nan's Song,4csONhd0Qm1bTLRlJaqNZO,Robbie Williams,,https://i.scdn.co/image/ab67616d00001e023a9ad390e0635b43ff01d250
Stormy,5pwqFOPir9wq1QHrIEaXkw,Classics IV,,https://i.scdn.co/image/ab67616d00001e02dc965d33bf95ddd7a9e903e0
Float,3yt2uGIGep27Q3vtwMXM7d,Pacific Air,,https://i.scdn.co/image/ab67616d00001e02d5c17c788bd202fa909d1eac
Country Boy's World,3PwT4UE95RrHyn6pheYS4g,Jason Aldean,,https://i.scdn.co/image/ab67616d00001e0230fb8097859c939e15124037
Closure,1Ll9VJPuI1JFhdPUhanl8O,Jack & Jack,,https://i.scdn.co/image/ab67616d00001e0294f918bd5cbcb519468e833c
Backyard - Bonus Track,5HrzPdUDfXT1njQCnJK1ww,Of Monsters and Men,,https://i.scdn.co/image/ab67616d00001e02cfec3ff2e253fc0e786e3019
A Life That's Good,0QxKf9IfGjNrTa4gcnP3tN,Nashville Cast,,https://i.scdn.co/image/ab67616d00001e020a01f2a656481ccee1e4080b
You Never Let Go,3NNm7maZCjauZbXTsbXRj2,Matt Redman,,https://i.scdn.co/image/ab67616d00001e026c576abbb272f4cb7d6bb548
"Baby Mine - From ""Dumbo""/Soundtrack Version",2ufkOFn5LKYNoAdss0GUKR,Arcade Fire,,https://i.scdn.co/image/ab67616d00001e02008339ec7e78c0b387360584
I Wanna Know - Acoustic,78dhp5G3n3KbA2ThlSkl2b,NOTD,,https://i.scdn.co/image/ab67616d00001e024e4723a68cc3422abdabe7f0
Hold Tight,72DnQlaqdNhz9QJZXfYe6L,Sabrina Carpenter,,https://i.scdn.co/image/ab67616d00001e0238b27a27cea311f34bb68eff
Sound Of Your Heart,3e5wnsqhAkzlzk9SzdhOzR,Shawn Hook,,https://i.scdn.co/image/ab67616d00001e02b1958b9f231d90f456766ae8
